startup_stage,industry,region,requested_amount,pre_money_valuation,team_size,founders_experience_years,annual_revenue,market_size_estimate,investment_amount,is_rejected
Pre-Seed,ClimateTech,US,1381327.2952734318,7223186.639038092,9,3,0.0,6039941.973579549,0.0,1
Series B,HealthTech,US,7784758.506301133,30493074.60978094,13,8,96087.46183450466,68860303.60135059,7203092.220809995,0
Pre-Seed,HealthTech,LATAM,1306439.3416753158,10227016.412978567,5,3,0.0,18962081.961094946,0.0,1
Idea,E-commerce,US,884082.9520878472,4531614.159352091,3,2,0.0,7717271.836264349,0.0,1
Series B,E-commerce,US,16084842.210217731,51891895.65926287,10,7,133652.7299649111,14156695.2935862,16726454.38461322,0
Idea,HealthTech,US,1107317.6501740376,8100601.237510731,1,2,0.0,21417471.68196125,0.0,1
Seed,AI/SaaS,Europe,2492487.2283652117,18056996.009925053,8,3,176005.6579844763,11597660.47320231,1598191.3890585008,0
Series A,FinTech,US,7464133.625371902,31696153.426785883,11,5,1219576.72083148,11559300.254141694,4706875.507699165,0
Series A,AI/SaaS,US,3152825.371952417,23753834.708424862,9,2,126655.02303927482,3932326.4145942577,2755136.1565849683,0
Seed,FinTech,US,2722484.467594305,12567028.214320138,8,8,360589.2807323125,6286484.538662804,1459347.3042796256,0
Pre-Seed,FinTech,Europe,1256032.7250571374,6580249.717338657,10,4,0.0,7961812.214576453,0.0,1
Pre-Seed,FinTech,US,2643932.406400871,14650013.29279295,8,5,0.0,12549502.365574418,0.0,1
Pre-Seed,HealthTech,Asia,2247430.6139563355,9091661.646646036,8,6,0.0,19784087.010743555,1562436.1175979243,0
Series A,AI/SaaS,Asia,4412013.786576914,22159518.527958285,12,9,2920326.975813081,3066172.9554064167,4504310.31839125,0
Series A,FinTech,Europe,3895941.166619378,21599372.04041593,8,12,1003495.0662921116,2133766.210537558,3987118.42990646,0
Series B,ClimateTech,US,5853608.38036219,45852918.88944418,11,10,143121.2048252153,20706098.059328187,5782844.218095078,0
Series A,ClimateTech,US,4110683.1211869847,20959979.76951658,12,1,116158.56418246435,3448284.789220429,3197078.367495165,0
